Game_ID,Season_ID,Team_ID,Player_ID,Position_Group,Position,Game_Date,Home_Team,Away_Team,Event_Type,Shot_Made,Action_Type,Shot_Type,Basic_Zone,Zone_Name,Zone_Abb,Zone_Range,Loc_X,Loc_Y,Shot_Distance,Quarter,Mins_Left,Secs_Left,shot_id
20801225,63,51,3803,G,SG,2009-04-15,NYK,NJN,Missed Shot,0,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,4.0,14.85,10.0,2,3,57,1
20801222,63,51,3779,G,PG,2009-04-15,MEM,ATL,Made Shot,1,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,1,9,2
20801229,63,51,3817,G,PG,2009-04-15,PHX,GSW,Made Shot,1,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.9,19.05,25.0,2,6,19,3
20801230,63,51,3658,G,SG,2009-04-15,POR,DEN,Made Shot,1,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,6.95,1.0,2,2,37,4
20801218,63,51,3436,C,C,2009-04-15,CHI,TOR,Missed Shot,0,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,4,10,5
20801223,63,51,3737,G,SG,2009-04-15,MIA,DET,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.2,18.75,18.0,2,2,25,6
20801229,63,51,3844,F,PF,2009-04-15,PHX,GSW,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.1,20.85,19.0,2,5,59,7
20801218,63,51,3812,G,PG,2009-04-15,CHI,TOR,Missed Shot,0,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-4.5,13.45,9.0,2,3,52,8
20801228,63,51,3383,F,SF,2009-04-15,LAC,OKC,Made Shot,1,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,2,15,9
20801222,63,51,3713,F,SF,2009-04-15,MEM,ATL,Made Shot,1,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,0,42,10
20801225,63,51,3628,G,PG,2009-04-15,NYK,NJN,Made Shot,1,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.5,13.45,14.0,2,3,40,11
20801221,63,51,3335,F,PF,2009-04-15,IND,MIL,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.0,24.75,19.0,2,4,18,12
20801227,63,51,3442,F,PF,2009-04-15,SAS,NOH,Made Shot,1,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,14.6,6.15,14.0,2,1,51,13
20801229,63,51,3688,F,PF,2009-04-15,PHX,GSW,Missed Shot,0,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.8,9.75,6.0,2,5,50,14
20801226,63,51,3094,F,PF,2009-04-15,ORL,CHA,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.4,8.35,8.0,2,3,17,15
20801220,63,51,3428,C,C,2009-04-15,DAL,HOU,Made Shot,1,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.5,7.85,10.0,2,0,34,16
20801223,63,51,3519,F,SF,2009-04-15,MIA,DET,Made Shot,1,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,2,7,17
20801229,63,51,3688,F,PF,2009-04-15,PHX,GSW,Missed Shot,0,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,5,48,18
20801225,63,51,3301,F,SF,2009-04-15,NYK,NJN,Missed Shot,0,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,3,1,19
20801220,63,51,3194,G,SG,2009-04-15,DAL,HOU,Missed Shot,0,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,0,23,20
20801222,63,51,3809,F,PF,2009-04-15,MEM,ATL,Made Shot,1,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,0,9,21
20801228,63,51,3770,F,SF,2009-04-15,LAC,OKC,Made Shot,1,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.8,27.15,25.0,2,1,49,22
20801226,63,51,3094,F,PF,2009-04-15,ORL,CHA,Made Shot,1,Fadeaway Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.9,6.95,5.0,2,3,14,23
20801218,63,51,3436,C,C,2009-04-15,CHI,TOR,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.6,22.85,17.0,2,3,15,24
20801222,63,51,3350,G,PG,2009-04-15,MEM,ATL,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.1,17.95,16.0,2,0,1,25
20801219,63,51,3665,G,PG,2009-04-15,CLE,PHI,Made Shot,1,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.4,15.95,24.0,2,0,7,26
20801229,63,51,3797,F,PF,2009-04-15,PHX,GSW,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,20.7,5.55,20.0,2,5,38,27
